"course_id","operator","requisite_course_id_1","requisite_course_id_2"
"EPIDEM M252","AND","EPIDEM 200C",""
"ENGL 173A","AND","ENGL 10B",""
"ENGL 141","AND","ENGL 10B",""
"DIS STD 101W","OR","ENGCOMP 3","English as A Second Language 36"
"BIOINFO M260B","OR","COM SCI 32","COMPTNG 10C"
"EE BIOL 194B","OR","Ecology and Evolutionary Biology 198D","Ecology and Evolutionary Biology 199"
"ENVIRON 180B","AND","ENVIRON 180A",""
"FILM TV C152C","AND","FILM TV 185",""
"DANCE 117C","AND","DANCE 67B",""
"ENGL 10B","OR","Satisfaction on Entry-Level Writing Requirement","ENGCOMP 3"
"ECON 106E","AND","ECON 101",""
"MATH 103A","AND","MATH 31A",""
"MUSC 188SB","AND","MUSC 188SA",""
"EL ENGR 173DA","AND","EL ENGR 101A",""
"I A STD M5B","AND","I A STD M5A",""
"PSYCH 119J","OR","PSYCH 115","PSYCH M117C"
"EL ENGR 115C","AND","COM SCI M51A",""
"ART 133","AND","ART 11A",""
"C&S BIO M185","AND","LIFESCI 4",""
"NURSING 224","AND","NURSING 231",""
"CHEM 153L","AND","CHEM 30AL",""
"CHEM 113A","OR","PHYSICS 1C","PHYSICS 6A"
"ENGL 181C","AND","ENGL 10A",""
"LING 110","OR","LING 119A","LING 120A"
"HNRS 11W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"PHYSICS 1B","AND","MATH 32B",""
"MGMT 231C","AND","MGMT 430",""
"MGMT 161","AND","MGMT 160",""
"ENV HLT M242","AND","ENV HLT C240",""
"ECON 111","AND","ECON 101",""
"ECON M135","OR","POL SCI 20","POL SCI 30"
"EL ENGR 141","AND","EL ENGR 102",""
"MCD BIO 165A","OR","CHEM 14D","CHEM 30B"
"PSYCH 101","AND","PSYCH 100A",""
"CLASSIC 143A","OR","CLASSIC 10","CLASSIC 40W"
"SPAN 100B","AND","SPAN M35",""
"MATH 105B","OR","MATH 110A","MATH 117"
"PHYSICS 1B","AND","MATH 32A",""
"NURSING 171","OR","NURSING 165","NURSING 461"
"MIMG 158","AND","CHEM 153A",""
"SCAND 2","AND","SCAND 1",""
"CH ENGR 104D","AND","CH ENGR C125",""
"PSYCH M107","AND","PSYCH 10",""
"CHEM 30CL","AND","CHEM 30C",""
"MCD BIO 199B","AND","LIFESCI 4",""
"ASL 2","AND","ASL 1",""
"CHEM 285","AND","CHEM 110A",""
"C&S BIO M185","AND","MATH 33B",""
"NEUROSC 101L","AND","NEUROSC M101B",""
"SOC GEN M72B","AND","SOC GEN M72A",""
"ENGL M104B","OR","ENGCOMP 3","English as A Second Language 36"
"NURSING 444","AND","NURSING 440",""
"EE BIOL 170","OR","PHYSICS 6C","PHYSICS 6CH"
"CHICANO M156B","AND","CHICANO M156A",""
"LING 120A","AND","LING 103",""
"CHIN 2","AND","CHIN 1",""
"LING M176A","OR","JAPAN 3","JAPAN 8"
"MUSC 66W","AND","MUSC 20A",""
"SOC WLF 100B","AND","SOC WLF 100A",""
"ENGL 161C","AND","ENGL 10B",""
"WL ARTS C280","AND","WL ARTS 80",""
"PSYCH 116","AND","PSYCH 100A",""
"WL ARTS 170","AND","WL ARTS 70",""
"LATIN 20","OR","LATIN 3","LATIN 16"
"CHEM CM260B","OR","COM SCI 32","COMPTNG 10C"
"ARABIC 103B","AND","ARABIC 102C",""
"MATH 184","AND","MATH 115A",""
"COM HLT 270A","AND","COM HLT 210",""
"MCD BIO 198B","AND","LIFESCI 3",""
"MUSC 110B","AND","MUSC 20B",""
"PHYSICS 17","AND","PHYSICS 1CH",""
"PHYSICS 18L","AND","PHYSICS 1C",""
"MUSC 140B","AND","MUSC 140A",""
"IRANIAN 1B","AND","IRANIAN 1A",""
"NURSING 264","OR","NURSING 438A","NURSING 439A"
"LIFESCI 192D","AND","LIFESCI 30B",""
"ECON 191","AND","ECON 101",""
"CHEM 14CL","AND","CHEM 14B",""
"MGMT 215B","AND","MGMT 420",""
"CHIN 2A","AND","CHIN 1A",""
"JAPAN 154","OR","COM LIT 1D","Satisfaction on Entry-Level Writing Requirement"
"PHILOS 174","OR","PHILOS 182","PHILOS 183"
"STATS 20","OR","STATS 12","STATS 13"
"HIN","AND","HIN-URD 100A",""
"COM SCI 188SB","AND","HNRS 101E",""
"PSYCH 119C","OR","PSYCH 115","PSYCH M117C"
"APPLING 278","AND","Applied Linguistics and Tesl M206",""
"ANTHRO 117P","AND","ANTHRO 8",""
"ENGL 4HW","OR","ENGCOMP 3","English as A Second Language 36"
"PSYCH 127B","AND","PSYCH 10",""
"EPS SCI 136A","AND","PHYSICS 1C",""
"LIFESCI 7B","AND","LIFESCI 7A",""
"MAT SCI 111","AND","MAT SCI 110",""
"EE BIOL 152","AND","LIFESCI 1",""
"PHYSICS 17","AND","PHYSICS 1BH",""
"CLASSIC 191","AND","CLASSIC 20",""
"CHEM 285","AND","CHEM 171",""
"PHYSICS 1C","AND","MATH 32A",""
"BIOENGR 180","AND","LIFESCI 3",""
"MECH&AE 166C","OR","MECH&AE 156A","MECH&AE 166A"
"CHEM CM160B","OR","COM SCI 32","COMPTNG 10C"
"CH ENGR C112","AND","CH ENGR 101A",""
"ENV HLT M211","AND","EPIDEM 200B",""
"PHYSICS 17","AND","MATH 33A",""
"IRANIAN 102B","AND","IRANIAN 102A",""
"ASIA AM M166B","AND","ASIA AM M166A",""
"GREEK 2","AND","GREEK 1",""
"POL SCI 181A","AND","POL SCI 40",""
"CHEM 184","AND","CHEM 30CL",""
"EE BIOL 151A","AND","LIFESCI 1",""
"FILM TV 155","AND","FILM TV 101A",""
"PHILOS M101B","AND","PHILOS M101A",""
"ENGL 182B","AND","ENGL 10A",""
"ENGCOMP 3D","OR","ENGCOMP 2I","Satisfaction on Entry-Level Writing Requirement"
"COMM ST 112","OR","COMM ST 118","COMM ST 120"
"FILM TV 284B","AND","FILM TV 284A",""
"C&EE 147","AND","C&EE 135B",""
"MECH&AE M168","OR","MECH&AE 156A","MECH&AE 166A"
"ART 130","AND","ART 1A",""
"GEOG 167","AND","GEOG 7",""
"PSYCH 126","OR","PSYCH 127B","PSYCH 127C"
"NURSING 295B","AND","NURSING 295A",""
"CHEM 110A","AND","PHYSICS 1B",""
"MECH&AE 157","AND","EL ENGR 100",""
"BIOENGR 120","AND","PHYSICS 1C",""
"COMPTNG 40A","AND","COMPTNG 10A",""
"PUB PLC 298B","AND","PUB PLC 298A",""
"PSYCH 119V","AND","PSYCH 115",""
"GE CLST M71B","AND","GE CLST M71A",""
"COM SCI M185","AND","C&S BIO M184",""
"PSYCH 116","AND","PSYCH 10",""
"POL SCI 188SB","AND","POL SCI 188SA",""
"NURSING 239A","AND","NURSING 224",""
"BIOSTAT 256","AND","BIOSTAT 202B",""
"COM SCI 180","AND","MATH 61",""
"MAT SCI 104","AND","PHYSICS 1B",""
"ECON 103L","OR","ECON 41","STATS 100A"
"NURSING 416A","AND","NURSING 440",""
"PSYCH 115","OR","LIFESCI 2W","LIFESCI 15"
"PSYCH M288B","AND","PSYCH M288A",""
"BIOINFO M260B","OR","BIOSTAT 110A","MATH 170A"
"POL SCI 200CL","AND","POL SCI 200B",""
"BIOENGR 120","AND","CHEM 30A",""
"EPIDEM M211","AND","EPIDEM 200B",""
"MECH&AE 162D","OR","MECH&AE 183A","MECH&AE M183B"
"ENV HLT 202","AND","ENV HLT 410A",""
"MUSC 120B","AND","MUSC 120A",""
"CHEM C226A","AND","CHEM 110A",""
"CHEM C207","AND","CHEM 172",""
"COM SCI 174A","AND","COM SCI 32",""
"MCD BIO M140","AND","MCD BIO 165A",""
"SPAN 119","AND","SPAN 25",""
"THEATER C155D","OR","THEATER 147A","THEATER 147B"
"CHEM 20B","AND","CHEM 20A",""
"ETHNMUS 171FW","AND","ETHNMUS 171FF",""
"CAEM 239","AND","Conservation of Archaeological and Ethnographic Materials 234",""
"COM SCI M185","AND","MATH 33B",""
"PSYCH 186B","AND","PSYCH 10",""
"SCAND 50W","OR","ENGCOMP 3","English as A Second Language 36"
"PSYCH 127A","AND","PSYCH 10",""
"PSYCH 186B","AND","COMPTNG 10B",""
"NEUROSC 182","AND","NEUROSC M101A",""
"MIMG 191H","OR","MIMG 198A","MIMG 198B"
"MGMT 260A","AND","MGMT 411",""
"MUSC C167","OR","MUSC 164AS","MUSC 164BF"
"STATS 102B","AND","MATH 33A",""
"PUB PLC 187","AND","PUB PLC 10A",""
"PHYSCI C152","AND","PHYSCI 111A",""
"MATH 31B","AND","MATH 31A",""
"MATH 131AH","AND","MATH 32B",""
"PHYSICS 6A","AND","MATH 3C",""
"PSYCH 101","AND","PSYCH 10",""
"NURSING 439A","AND","NURSING 224",""
"BIOENGR 180","AND","BIOENGR 100",""
"CHEM 154","AND","CHEM 153A",""
"MECH&AE 162D","OR","MECH&AE 156A","MECH&AE 183A"
"CHEM 154","AND","CHEM 153L",""
"CIVIC 194","AND","CIVIC 195CE",""
"EPIDEM 200B","AND","EPIDEM 200A",""
"PHYSICS 17","OR","PHYSICS 1C","PHYSICS 1AH"
"INTL DV 191","AND","INTL DV 110",""
"CHEM C165","AND","CHEM 153C",""
"MGMT 241A","AND","MGMT 411",""
"PSYCH 100A","OR","STATS 10","COMPTNG 10A"
"I A STD 191","AND","I A STD 1",""
"COM LIT 4CW","OR","ENGCOMP 3","English as A Second Language 36"
"CHEM 153B","AND","LIFESCI 3",""
"ENGCOMP 3D","OR","ENGCOMP 2","ENGCOMP 2I"
"MATH 103A","AND","MATH 32A",""
"CHEM C143A","AND","CHEM 110B",""
"TURKIC 102B","AND","TURKIC 101A",""
"THEATER C156B","AND","THEATER 147A",""
"PSYCH 100A","AND","PSYCH 10",""
"CHEM 192B","OR","CHEM 14CL","CHEM 20L"
"PHYSICS 87","AND","MATH 3B",""
"MUSC 110B","AND","MUSC 120B",""
"POL SCI 145E","AND","POL SCI 40",""
"THAI 100B","AND","THAI 100A",""
"BIOL CH M140","AND","MCD BIO 165A",""
"LING 110","OR","LING 102","LING 103"
"PSYCH 126","AND","PSYCH 100B",""
"MATH 131A","AND","MATH 33B",""
"MGMT 231E","AND","MGMT 408",""
"IL AMER M5B","AND","Indigenous Languages of the Americas M5A",""
"COMM ST 150","OR","STATS 10","ECON 41"
"MGMT 266B","AND","MGMT 411",""
"ART HIS C216A","AND","ART HIS 21",""
"EPS SCI 103A","OR","MATH 31B","MATH 3B"
"PHYSICS 6A","AND","MATH 3A",""
"ENGL 110A","OR","Satisfaction on Entry-Level Writing Requirement","ENGCOMP 3"
"PHILOS 188SB","AND","PHILOS 188SA",""
"CH ENGR 104B","AND","CH ENGR 103",""
"CHEM C226A","AND","CHEM 113A",""
"HEBREW 102B","AND","HEBREW 102A",""
"KOREA 100B","AND","KOREA 100A",""
"ENGL 10C","AND","ENGL 10B",""
"C&S BIO M185","AND","C&S BIO M184",""
"EE BIOL C177","AND","LIFESCI 1",""
"EE BIOL 170","AND","LIFESCI 3",""
"MGMT 241A","AND","MGMT 410",""
"COM SCI 152B","AND","COM SCI M151B",""
"EE BIOL 132","AND","Ecology and Evolutionary Biology 100",""
"MATH 188SB","AND","MATH 188SA",""
"ETHNMUS 171AW","AND","ETHNMUS 171AF",""
"EE BIOL 170","AND","LIFESCI 2",""
"MATH 61","AND","MATH 31B",""
"MAT SCI 143A","AND","MECH&AE 101",""
"CHEM 285","AND","CHEM 30AL",""
"EL ENGR 110L","OR","EL ENGR 100","EL ENGR 110"
"EL ENGR 102","AND","MATH 33B",""
"ETHNMUS 183","AND","ETHNMUS 20B",""
"THEATER 173B","AND","THEATER 14A",""
"SOC WLF 249C","AND","SOC WLF 249B",""
"COM HLT 276","OR","COM HLT 100","COM HLT 210"
"CHEM C274","AND","CHEM 171",""
"DANCE 116","AND","DANCE 16",""
"SPAN 170","AND","SPAN 25",""
"MIL SCI 22","AND","MIL SCI 21",""
"ENGL 166B","AND","ENGL 10B",""
"PSYCH 100B","AND","PSYCH 10",""
"SOC WLF 402B","AND","SOC WLF 401C",""
"MUSC C167","OR","MUSC 164BS","MUSC 164CF"
"LING 120A","AND","LING 20",""
"ENGL 97H","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"PSYCH 124D","AND","PSYCH 115",""
"CHEM 192B","AND","CHEM 14BL",""
"ASTR 115","AND","PHYSICS 1B",""
"ENGL 134","AND","ENGL 10B",""
"THEATER 173B","AND","THEATER 14C",""
"PHYSICS 18L","AND","PHYSICS 4BL",""
"FILM TV 410E","AND","FILM TV 410B",""
"STATS C180","AND","MATH 32B",""
"CHEM 113A","AND","MATH 33B",""
"LATIN 100","AND","LATIN 20",""
"MAT SCI 120","OR","MAT SCI 110","CHEM 113A"
"MGMT 406","AND","MGMT 405",""
"CAEM M250","AND","Conservation of Archaeological and Ethnographic Materials 210L",""
"GE CLST 60B","AND","GE CLST 60A",""
"MECH&AE 105D","AND","MECH&AE 82",""
"NURSING 439A","AND","NURSING 239A",""
"THEATER 121","AND","THEATER 20",""
"MGMT 232D","AND","MGMT 408",""
"COM LIT 4CW","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"CHEM C107","AND","CHEM 172",""
"LING 130","OR","LING 119A","LING 120A"
"ANTHRO 149C","AND","ANTHRO 33",""
"MUSC C267","OR","MUSC 464A","MUSC 464B"
"MATH 115A","AND","MATH 33A",""
"ECON 187","AND","ECON 101",""
"PHILOS 133","AND","PHILOS 31",""
"CHEM C174","AND","CHEM 30CL",""
"ENGL 111A","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"APPLING 101W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"MECH&AE 157","AND","MECH&AE 102",""
"ENGR 183EW","OR","ENGCOMP 3","English as A Second Language 36"
"COM HLT M252","OR","HLT POL 100","HLT POL 200A"
"CH ENGR 104A","AND","CH ENGR 100",""
"PHYSICS 1B","AND","MATH 31B",""
"MECH&AE C183C","AND","MECH&AE 183A",""
"HEBREW C240","AND","HEBREW 103A",""
"CHEM C226A","AND","MATH 33B",""
"MATH 106","AND","MATH 31A",""
"DANCE 117A","AND","DANCE 16",""
"CHEM 285","AND","CHEM 113A",""
"PSYCH 126","AND","PSYCH 100A",""
"CHEM 156","AND","CHEM 153A",""
"MIMG CM156","AND","LIFESCI 4",""
"MCD BIO 144","AND","LIFESCI 23L",""
"MGMT 222","AND","MGMT 403",""
"INDO 2","AND","INDO 1",""
"MATH 212A","AND","MATH 210A",""
"MECH&AE 107","OR","COM SCI 31","MECH&AE M20"
"MATH 131AH","AND","MATH 33B",""
"COMM ST 100","OR","PSYCH 10","LING 1"
"JAPAN 154","OR","COM LIT 1B","COM LIT 1C"
"KOREA 2A","AND","KOREA 1A",""
"CHEM C126A","AND","CHEM 113A",""
"LING 120B","AND","LING 20",""
"ENV HLT C200C","OR","ENV HLT C200A","ENV HLT C200B"
"ENGL 134","AND","ENGL 10C",""
"COM SCI 131","AND","COM SCI 35L",""
"ENGL 134","AND","ENGL 10A",""
"BIOENGR C185","AND","BIOENGR CM102",""
"CHEM 30AL","AND","CHEM 20B",""
"MCD BIO 193","OR","MCD BIO 199B","MCD BIO 199"
"GEOG M171","OR","STATS 13","STATS 14"
"NEUROSC 191H","AND","STATS 10",""
"ENGL 171C","AND","ENGL 10C",""
"ASTR 115","AND","MATH 32B",""
"EPS SCI 154","AND","PHYSICS 110A",""
"POL SCI 119","AND","POL SCI 10",""
"ASL 5","AND","ASL 4",""
"MECH&AE 107","AND","MECH&AE 82",""
"ITALIAN 3","AND","ITALIAN 2",""
"ENGL 150A","AND","ENGL 10B",""
"C&EE 102","AND","C&EE 101",""
"ENGL 129","AND","ENGL 10C",""
"JAPAN 5","AND","JAPAN 4",""
"EE BIOL 110","AND","LIFESCI 23L",""
"C&S BIO M186","AND","EL ENGR 102",""
"PHYSCI 149","AND","PHYSCI 111B",""
"GERMAN 5","AND","GERMAN 4",""
"MATH 3A","OR","MATH 1","Math Diagnostic Test"
"CH ENGR 104A","AND","CH ENGR 101B",""
"ANTHRO 135A","AND","ANTHRO 9",""
"LING 102","AND","LING 20",""
"ENVIRON M134","AND","ECON 101",""
"MSC HST 125E","AND","MSC HST 125D",""
"CHIN 151","OR","COM LIT 1A","COM LIT 1B"
"CHEM 113A","AND","PHYSICS 6B",""
"PSYCH M117B","OR","PSYCH 115","PHYSCI 111A"
"BIOSTAT 256","AND","BIOSTAT 255",""
"MUSC C167","OR","MUSC 164BF","MUSC 164BW"
"CHEM C143A","AND","CHEM 113A",""
"NURSING 205B","AND","NURSING 205A",""
"MATH 182","OR","MATH 32A","MATH 3C"
"HEBREW C140","AND","HEBREW 103B",""
"SOC WLF 402B","AND","SOC WLF 401B",""
"WL ARTS 177SL","AND","WL ARTS 103",""
"FILM TV C430","AND","FILM TV 431",""
"LING M146","OR","ANTHRO 33","LING 20"
"PHYSCI M180B","OR","PHYSCI M180A","PSYCH 115"
"ENGL 150B","AND","ENGL 10A",""
"ECON 148","AND","ECON 101",""
"ENGL 180","AND","ENGL 10B",""
"ECON M204M","AND","HLT POL M236",""
"SPAN 155C","OR","SPAN 25","SPAN 27"
"PSYCH 133E","AND","PSYCH 10",""
"MATH 269B","AND","MATH 151B",""
"THEATER 174C","AND","THEATER 174A",""
"MGMT 127A","AND","MGMT 1B",""
"ENGL 161C","AND","ENGL 10A",""
"COM SCI 136","AND","COM SCI 118",""
"MCD BIO 144","AND","LIFESCI 3",""
"ENGL M107A","OR","ENGCOMP 3","Satisfaction on Entry-Level Writing Requirement"
"MIMG 158","AND","MIMG 101",""
"EL ENGR 113DB","AND","EL ENGR 113DA",""
"MSC HST 12W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"CHEM 113A","AND","PHYSICS 1A",""
"FILM TV 181C","AND","FILM TV 181A",""
"PHYSCI 111A","OR","PHYSICS 6B","PHYSICS 6CH"
"CHEM C274","AND","CHEM 30CL",""
"ENGL 4W","OR","ENGCOMP 3","English as A Second Language 36"
"KOREA 102B","OR","KOREA 6","KOREA 6A"
"MIL SCI 12","AND","MIL SCI 11",""
"MATH 174E","OR","MATH 170A","STATS 100A"
"CHEM 20BH","OR","MATH 31A","CHEM 20AH"
"WL ARTS 188SB","AND","WL ARTS 188SA",""
"CHEM C174","AND","CHEM 171",""
"MIMG 101","AND","LIFESCI 3",""
"MUSC 119B","AND","MUSC 20C",""
"CHEM 30C","AND","CHEM 30B",""
"GE CLST 66B","AND","GE CLST 66A",""
"MIMG 103BL","AND","MIMG 103AL",""
"C&EE 157B","AND","C&EE 155",""
"PSYCH 121","OR","PSYCH 120A","PSYCH 120B"
"ETHNMUS 71DW","AND","ETHNMUS 71DF",""
"ENGL 166B","AND","ENGL 10A",""
"COM SCI M185","AND","LIFESCI 4",""
"MATH 134","AND","MATH 33B",""
"NURSING 238C","AND","NURSING 238B",""
"PSYCH 100A","OR","COM SCI 2","MATH 2"
"STATS 20","OR","STATS 10","STATS 12"
"COM SCI 143","AND","COM SCI 111",""
"EE BIOL 193","OR","Ecology and Evolutionary Biology 198C","Ecology and Evolutionary Biology 198D"
"IRANIAN 103B","AND","IRANIAN 102C",""
"EPS SCI 139","OR","Earth and Space Sciences 1","Earth and Space Sciences 100"
"EPS SCI 136A","AND","PHYSICS 1B",""
"CHEM C123B","OR","CHEM 110B","CHEM 156"
"MECH&AE 154B","AND","MECH&AE 166A",""
"ARABIC 103B","AND","ARABIC 102A",""
"CH ENGR 104B","AND","CH ENGR 101C",""
"ENGL 150A","AND","ENGL 10A",""
"MATH 164","AND","MATH 131A",""
"COM SCI M152A","AND","COM SCI M51A",""
"PSYCH 116","AND","PSYCH 115",""
"PHYSICS 18L","AND","PHYSICS 17",""
"PSYCH 131","OR","PSYCH 133F","PSYCH 133G"
"MATH 32BH","AND","MATH 31B",""
"BIOENGR 180","AND","PHYSICS 1C",""
"MCD BIO 193","OR","MCD BIO 199A","MCD BIO 199B"
"INF STD 188SB","AND","HNRS 101E",""
"JAPAN CM122","OR","JAPAN 3","JAPAN 8"
"MUSC C167","OR","MUSC 164CW","MUSC 164CS"
"PSYCH 136A","AND","PSYCH 100B",""
"RELIGN M60W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"C&EE 151","AND","C&EE 150",""
"PHYSCI 111A","AND","LIFESCI 3",""
"MATH 106","AND","MATH 32A",""
"COM SCI 112","OR","STATS 100A","C&EE 110"
"MCD BIO 196A","AND","LIFESCI 3",""
"NURSING 429A","AND","NURSING 440",""
"ECON M134","AND","ECON 101",""
"EPS SCI 136A","OR","MATH 3C","MATH 31A"
"PHYSICS 87","AND","LIFESCI 3",""
"EE BIOL 170","OR","CHEM 14D","CHEM 30B"
"MATH 184","AND","MATH 31B",""
"ECON 131","AND","ECON 11",""
"VIETMSE 5","AND","VIETMSE 4",""
"ANTHRO 150","AND","ANTHRO 9",""
"MCD BIO 193","OR","MCD BIO 198B","MCD BIO 198C"
"CH ENGR 108A","OR","CH ENGR 103","CH ENGR C125"
"MECH&AE 182B","AND","MECH&AE 82",""
"ENGL 97H","AND","ENGL 4W",""
"MATH 132H","AND","MATH 131A",""
"DANCE 117C","AND","DANCE 16",""
"MAT SCI 131L","AND","MAT SCI 131",""
"EE BIOL 170","AND","LIFESCI 4",""
"POL SCI 123A","AND","POL SCI 20",""
"POL SCI 200CL","AND","POL SCI 200A",""
"LING 185A","AND","LING 120B",""
"MGMT 260B","AND","MGMT 411",""
"CHEM 20L","AND","CHEM 20B",""
"PSYCH 131","OR","PSYCH 133C","PSYCH 133D"
"MCD BIO 104AL","AND","LIFESCI 3",""
"THEATER C163D","AND","THEATER 163B",""
"PSYCH C194D","AND","PSYCH 185",""
"EPS SCI 116","OR","LIFESCI 1","LIFESCI 2"
"A&O SCI 145","AND","PHYSICS 6B",""
"MATH 175","AND","MATH 32B",""
"ECON 131L","AND","ECON 131",""
"STATS 141SL","AND","STATS 140SL",""
"EDUC 188SB","AND","EDUC 188SA",""
"MSC HST M6B","AND","MSC HST M6A",""
"MATH 61","AND","MATH 31A",""
"ECON 131","AND","ECON 101",""
"MECH&AE 157","AND","MECH&AE 103",""
"C&EE 157L","AND","C&EE 150",""
"ECON 141","AND","ECON 11",""
"THEATER 173A","AND","THEATER 14B",""
"C&EE 102","AND","PHYSICS 1B",""
"PHYSCI 167","AND","CHEM 14A",""
"LING 120C","AND","LING 120B",""
"CHEM 188SB","AND","HNRS 101E",""
"HIST 96W","OR","ENGCOMP 3","English as A Second Language 36"
"ENGL 137","AND","ENGL 4W",""
"DANCE 117C","AND","DANCE 67A",""
"MATH 103A","AND","MATH 31B",""
"ENVIRON M1B","AND","ENVIRON M1A",""
"ETHNMUS 171GW","AND","ETHNMUS 171GF",""
"ENGL 177","AND","ENGL 10B",""
"PHYSCI 167","AND","CHEM 30A",""
"MAT SCI 131","AND","MAT SCI 130",""
"ECON M135","OR","POL SCI 6","POL SCI 10"
"PSYCH 131","OR","PSYCH 133B","PSYCH 133C"
"COM HLT 225","AND","COM HLT 219",""
"CHICANO M146","OR","SPAN 25","SPAN 27"
"NEUROSC M101B","OR","PSYCH 115","PHYSCI 111A"
"NURSING 162A","AND","NURSING 150A",""
"COM SCI CM122","OR","MATH 170A","STATS 100A"
"ENGL 173A","AND","ENGL 10C",""
"LIFESCI 192D","AND","LIFESCI 30A",""
"PSYCH 110","AND","PSYCH 10",""
"MATH 114C","OR","MATH 110A","MATH 131A"
"KOREA C105B","AND","KOREA 101C",""
"STATS 201B","AND","STATS 201A",""
"NURSING 171","AND","NURSING 465D",""
"MECH&AE 162D","AND","MECH&AE 94",""
"C&EE 121","AND","C&EE 120",""
"ENGL M105B","OR","ENGCOMP 3","English as A Second Language 36"
"EL ENGR M116C","AND","EL ENGR M16",""
"PSYCH 186C","AND","PSYCH 100A",""
"POL SCI 135","AND","POL SCI 20",""
"MECH&AE M168","OR","MECH&AE 166A","C&EE 130"
"MGMT 263A","AND","MGMT 411",""
"PHYSCI 111L","AND","PHYSCI 111A",""
"THEATER 173A","AND","THEATER 14A",""
"ENGCOMP  A","AND","Demonstrated Proficiency on Analytical Writing Placement Exam",""
"FILM TV 287B","AND","FILM TV 287A",""
"COMM ST M72B","AND","COMM ST M72A",""
"MECH&AE 133A","AND","MECH&AE 105A",""
"THEATER C456B","AND","THEATER 147A",""
"PHYSICS 1A","AND","MATH 31A",""
"EPS SCI 136A","AND","MATH 3B",""
"CHEM C115B","AND","MATH 31B",""
"MATH 120A","AND","MATH 131A",""
"JAPAN 154","OR","COM LIT 1A","COM LIT 1B"
"LING 127","AND","LING 20",""
"LIFESCI 23L","AND","LIFESCI 2",""
"C&EE 147","AND","C&EE 141",""
"NURSING 162D","AND","NURSING 162A",""
"CH ENGR 101B","AND","CH ENGR 101A",""
"BIOMATH 299","AND","BIOMATH M260B",""
"SPAN 130","AND","SPAN 25",""
"PSYCH 115","OR","LIFESCI 2","LIFESCI 2W"
"SOCIOL 289A","AND","SOCIOL 244A",""
"ETHNMUS 183","AND","ETHNMUS 20C",""
"APPLING 101W","OR","ENGCOMP 3","English as A Second Language 36"
"COM LIT 4DW","OR","ENGCOMP 3","English as A Second Language 36"
"CHEM CM160B","OR","C&EE 110","EL ENGR 131A"
"EL ENGR 112","AND","EL ENGR 110",""
"PSYCTRY 188SB","AND","HNRS 101E",""
"MIMG 10","OR","MATH 31A","LIFESCI 30A"
"CHEM CM260B","OR","C&EE 110","EL ENGR 131A"
"ENGL 162A","AND","ENGL 10A",""
"CHEM 110A","AND","CHEM 20B",""
"STATS M171","OR","STATS 11","STATS 12"
"ENGL M191C","OR","ENGCOMP 3","English as A Second Language 36"
"POL SCI 147C","AND","POL SCI 40",""
"GE CLST 21B","AND","GE CLST 21A",""
"BIOSTAT 100B","AND","BIOSTAT 100A",""
"MATH 103A","AND","MATH 33A",""
"EPIDEM 233","AND","EPIDEM 200B",""
"TURKIC 102B","AND","TURKIC 101B",""
"PSYCH 112D","AND","PSYCH 10",""
"PSYCH 119A","OR","PSYCH 115","PSYCH M117C"
"PHYSCI 111A","AND","PHYSCI 107",""
"ETHNMUS 183","AND","ETHNMUS 20A",""
"POL SCI 200C","AND","POL SCI 200B",""
"ENGL 164C","AND","ENGL 10A",""
"ANTHRO 115Q","AND","ANTHRO 8",""
"PSYCH 131","OR","PSYCH 133D","PSYCH 133E"
"ENGL 129","AND","ENGL 10A",""
"MCD BIO 198B","AND","MCD BIO 198A",""
"FRNCH 12","AND","FRNCH 6",""
"MECH&AE 183A","AND","MAT SCI 104",""
"MCD BIO 138","AND","LIFESCI 23L",""
"ENGL 119","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"PSYCH 196A","OR","PSYCH 194A","PSYCH 194B"
"MGMT 406","AND","MGMT 402",""
"BIOENGR 177B","AND","BIOENGR 177A",""
"EL ENGR 132A","AND","EL ENGR 113",""
"PSYCH 186B","AND","PSYCH 85",""
"EPS SCI 136A","AND","MATH 32A",""
"ENGL M105E","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"PHYSCI 149","AND","PHYSCI 111A",""
"PHYSCI 111A","OR","CHEM 14C","CHEM 30A"
"ECON 41","AND","MATH 31A",""
"EE BIOL 193","OR","Ecology and Evolutionary Biology 198B","Ecology and Evolutionary Biology 198C"
"ETHNMUS 20B","AND","MUSC 20C",""
"COM SCI 111","AND","COM SCI 35L",""
"PSYCH 110","AND","PSYCH 100A",""
"MCD BIO 199B","AND","MCD BIO 199A",""
"GERMAN 2","AND","GERMAN 1",""
"EE BIOL 100L","AND","Ecology and Evolutionary Biology 100",""
"ART 140","AND","ART 11C",""
"PHILOS C110","AND","PHILOS 21",""
"ETHNMUS 171CW","AND","ETHNMUS 171CF",""
