"class_name","class_rating","professor_name","overall","easiness","workload","clarity","helpfulness"
"EE BIOL 187","2.2","Michael Alfaro","2.2","2.5","2.5","2.5","3.8"
"EE BIOL 187","2.2","Gregory Grether","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 187","2.2","Eduardo Zeiger","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 154","2.1","Stephen Hubbell","1.8","2.4","2.4","1.8","1.4"
"EE BIOL 154","2.1","P Rundel","2.4","2.4","2.8","2.4","2.8"
"EE BIOL 154","2.1","Philip Rundel","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 154","2.1","Victoria Sork","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 17","1.9","Patricia Gowaty","2.2","2.4","3.0","1.4","1.4"
"EE BIOL 17","1.9","Stephen Hubbell","1.7","2.1","2.4","1.6","1.4"
"EE BIOL 155","1.8","Stephen Hubbell","1.8","2.8","2.2","1.4","1.8"
"EE BIOL 165","1.8","Malcolm Gordon","1.8","2.8","2.0","1.8","2.2"
"EE BIOL 176","1.8","Daniel Blumstein","1.8","1.5","1.5","1.5","2.3"
"EE BIOL 124","1.4","Daniel Blumstein","1.4","3.4","3.4","1.4","1.6"
"EE BIOL 124","1.4","David Jacobs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 126","1.2","Daniel Blumstein","1.2","3.6","3.4","1.6","1.2"
"EE BIOL 126","1.2","Peter Nonacs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 120","1.0","Wesley Chun","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 120","1.0","Emily Curd","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 120","1.0","Jonathan Drury","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 120","1.0","Matthew Petelle","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 120","1.0","D Scofield","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 120","1.0","C Taylor","1.0","1.2","1.2","1.0","1.0"
"EE BIOL 180A","1.0","C Taylor","1.0","1.0","1.3","1.0","1.0"
"EE BIOL 106","1.0","Malcolm Gordon","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 106","1.0","David Jacobs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 106","1.0","Cheryl Ann Zimmer","1.0","1.0","1.0","1.0","1.0"
"EE BIOL 123A","N/A","Peggy Fong","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 124A","N/A","Daniel Blumstein","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 124A","N/A","David Jacobs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 124B","N/A","Brenda Larison","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 129","N/A","Allison Alvarado","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 129","N/A","Kenneth Chapin","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 129","N/A","Philip Johns","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 129","N/A","None Maldonado Chaparro","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 129","N/A","Peter Nonacs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 129","N/A","Thea Wang","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 129","N/A","Gilene Young","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 130","N/A","Donald Buth","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 132","N/A","Gregory Grether","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 132","N/A","Peter Nonacs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 146","N/A","P Nobel","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 151B","N/A","Debra Shier Grether","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 152","N/A","Lawren Sack","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 153","N/A","Cheryl Ann Zimmer","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 153","N/A","Richard Zimmer","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 163","N/A","Malcolm Gordon","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 181","N/A","Donald Buth","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 185","N/A","Pamela Yeh","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 186","N/A","Barbara Natterson","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 189","N/A","Philip Rundel","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 189","N/A","R Wayne","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 189","N/A","Robert Wayne","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 19","N/A","Priyanga Amarasekare","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 19","N/A","Donald Buth","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 19","N/A","Cheryl Ann Zimmer","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 19","N/A","Richard Zimmer","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 190","N/A","James Lloyd-Smith","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 191","N/A","Lawren Sack","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 191","N/A","Pamela Yeh","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 192B","N/A","Tonya Kane","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Michael Alfaro","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Priyanga Amarasekare","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Paul Barber","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Daniel Blumstein","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Clifford Brunk","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Donald Buth","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Peggy Fong","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Malcolm Gordon","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Patricia Gowaty","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 193","N/A","Gregory Grether","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 194B","N/A","Lawren Sack","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 194B","N/A","Pamela Yeh","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 199","N/A","Lawren Sack","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 200B","N/A","Priyanga Amarasekare","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 200B","N/A","Stephen Hubbell","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 200B","N/A","James Lloyd-Smith","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 200C","N/A","Gregory Grether","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 25","N/A","Christine Chabot","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 25","N/A","Laura Jordan-Smith","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 263","N/A","Charles Taylor","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","Paul Barber","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","John Benson","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","Stephen Hubbell","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","David Jacobs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","James Lloyd-Smith","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","Kirk Lohmueller","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","Seth Riley","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","Lawren Sack","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","Thomas Smith","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 297","N/A","Victoria Sork","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 299","N/A","Donald Buth","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 96","N/A","Paul Barber","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 96","N/A","Jeannie Barber-Choi","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C119A","N/A","James Lloyd-Smith","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C119B","N/A","James Lloyd-Smith","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C126","N/A","Daniel Blumstein","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C126","N/A","Peter Nonacs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C174","N/A","Michael Alfaro","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C177","N/A","Michael Alfaro","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C179","N/A","Jeannie Barber-Choi","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C179","N/A","Rachel Kennison","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C219B","N/A","James Lloyd-Smith","N/A","N/A","N/A","N/A","N/A"
"EE BIOL C230","N/A","Michael Alfaro","N/A","N/A","N/A","N/A","N/A"
"EE BIOL CM173","N/A","David Jacobs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL M127","N/A","Avishesh Neupane","N/A","N/A","N/A","N/A","N/A"
"EE BIOL M127","N/A","G Okin","N/A","N/A","N/A","N/A","N/A"
"EE BIOL M127","N/A","Gregory Okin","N/A","N/A","N/A","N/A","N/A"
"EE BIOL M131","N/A","Daniela Cusack","N/A","N/A","N/A","N/A","N/A"
"EE BIOL M139","N/A","Curtis Deutsch","N/A","N/A","N/A","N/A","N/A"
"EE BIOL M139","N/A","Aaron Ferrel","N/A","N/A","N/A","N/A","N/A"
"EE BIOL M139","N/A","Anita Leinweber","N/A","N/A","N/A","N/A","N/A"
"EE BIOL M139","N/A","Tina Treude","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Jeffrey Arendt","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Daniel Blumstein","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Greer Dolby","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Peggy Fong","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Leryn Gorlitsky","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Gregory Grether","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Angela Guglielmino","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Patricia Halpin","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Philip Johns","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 100L","N/A","Tonya Kane","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 102","N/A","David Jacobs","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 112","N/A","Donald Buth","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 113A","N/A","Jeffrey Arendt","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 113A","N/A","K Nagy","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 115","N/A","James Dines","N/A","N/A","N/A","N/A","N/A"
"EE BIOL 115","N/A","I Horovitz","N/A","N/A","N/A","N/A","N/A"
"ECON 103L","5.0","David Atkin","N/A","N/A","N/A","N/A","N/A"
"ECON 103L","5.0","Moshe Buchinsky","N/A","N/A","N/A","N/A","N/A"
"ECON 103L","5.0","Maria Casanova Rivas","N/A","N/A","N/A","N/A","N/A"
"ECON 103L","5.0","Amanda Nguyen","N/A","N/A","N/A","N/A","N/A"
"ECON 103L","5.0","Randall Rojas","5.0","5.0","5.0","5.0","5.0"
"ECON 103L","5.0","T Von Wachter","N/A","N/A","N/A","N/A","N/A"
"ECON 106VL","5.0","Randall Rojas","5.0","5.0","5.0","5.0","5.0"
"ECON 106VL","5.0","P Weill","N/A","N/A","N/A","N/A","N/A"
"ECON 173B","5.0","Andrew Atkeson","5.0","5.0","5.0","5.0","5.0"
"ECON 286B","5.0","Arnold Harberger","5.0","3.4","3.3","4.0","4.7"
"ECON 106E","4.3","Daniel Ackerberg","4.3","2.5","2.5","4.8","4.8"
"ECON 106E","4.3","Hugo Hopenhayn","N/A","N/A","N/A","N/A","N/A"
"ECON 106E","4.3","Alfred Osborne","N/A","N/A","N/A","N/A","N/A"
"ECON 106E","4.3","Nathan Wilson","N/A","N/A","N/A","N/A","N/A"
"ECON M136","4.3","Jack Hirshleifer","4.3","3.4","3.0","4.1","4.9"
"ECON 151","3.9","Katalin Bognar","4.0","2.7","2.5","3.6","3.8"
"ECON 151","3.9","Janet Currie","3.5","1.5","1.0","3.2","3.8"
"ECON 140","3.8","M Rothschild","N/A","N/A","N/A","N/A","N/A"
"ECON 140","3.8","Michael Sproul","3.8","2.2","2.4","3.2","3.4"
"ECON 106G","3.7","Anastasia Burkovskaya","N/A","N/A","N/A","N/A","N/A"
"ECON 106G","3.7","Gregory Kubitz","N/A","N/A","N/A","N/A","N/A"
"ECON 106G","3.7","Moritz Meyer-ter-Vehn","4.4","1.4","1.4","3.8","4.2"
"ECON 106G","3.7","Ichiro Obara","2.8","2.5","2.2","2.0","3.0"
"ECON 106G","3.7","Marek Pycia","3.9","3.6","3.4","4.4","4.7"
"ECON 106G","3.7","Menghan Xu","N/A","N/A","N/A","N/A","N/A"
"ECON 5","3.6","Michael Sproul","3.6","3.0","2.4","3.4","3.4"
"ECON 188SB","3.2","Anne Bresnock","2.5","1.5","1.5","3.5","2.8"
"ECON 188SB","3.2","Michael Intriligator","3.6","2.1","2.0","3.3","3.4"
"ECON 101","3.1","Omer Ali","N/A","N/A","N/A","N/A","N/A"
"ECON 101","3.1","Deborah Brown","1.4","1.6","1.3","1.9","1.4"
"ECON 101","3.1","Richard Buddin","2.6","2.0","2.6","2.4","2.4"
"ECON 101","3.1","Carlos Armando Cantu Garcia","4.0","2.5","2.5","3.5","4.5"
"ECON 101","3.1","Tiago Caruso","N/A","N/A","N/A","N/A","N/A"
"ECON 101","3.1","Jernej Copic","3.4","2.5","2.9","3.1","3.3"
"ECON 101","3.1","Paul Devereux","4.0","1.6","1.8","4.2","3.8"
"ECON 101","3.1","Dean Hyslop","4.3","1.7","1.6","4.0","4.6"
"ECON 101","3.1","Edward Kung","4.0","2.2","2.4","3.2","2.8"
"ECON 101","3.1","Stephen Kwok","N/A","N/A","N/A","N/A","N/A"
"ECON 111","3.1","Frederico Finan","5.0","2.8","2.3","4.8","4.3"
"ECON 111","3.1","Deepak Lal","1.4","1.6","1.6","1.4","1.6"
"ECON 111","3.1","T Miyao","N/A","N/A","N/A","N/A","N/A"
"ECON 111","3.1","Rodney Swanson","2.4","1.0","1.0","2.6","2.4"
"ECON 102","3.0","Costas Azariadis","2.3","1.9","1.4","1.4","2.6"
"ECON 102","3.0","Michael Baird","N/A","N/A","N/A","N/A","N/A"
"ECON 102","3.0","Carlos Armando Cantu Garcia","N/A","N/A","N/A","N/A","N/A"
"ECON 102","3.0","Matthias Doepke","3.5","1.8","1.5","3.2","3.2"
"ECON 102","3.0","Roger Farmer","3.4","1.6","1.4","2.8","3.8"
"ECON 102","3.0","Francois Geerolf","2.4","2.4","3.4","2.8","2.2"
"ECON 102","3.0","Brian Jenkins","N/A","N/A","N/A","N/A","N/A"
"ECON 102","3.0","Pari Kasliwal","1.3","1.3","1.0","1.3","1.3"
"ECON 102","3.0","Meric Keskinel","2.8","2.6","3.0","2.6","3.0"
"ECON 102","3.0","Edward Mcdevitt","4.0","1.8","1.8","4.2","3.0"
"ECON 103","3.0","Daniel Ackerberg","4.4","2.6","2.6","4.4","4.9"
"ECON 103","3.0","David Atkin","2.2","1.8","2.8","2.5","2.0"
"ECON 103","3.0","Sandra Black","3.3","1.7","1.7","3.3","3.6"
"ECON 103","3.0","Moshe Buchinsky","1.8","1.8","1.5","1.4","1.9"
"ECON 103","3.0","Maria Casanova Rivas","2.7","1.3","1.7","1.8","2.3"
"ECON 103","3.0","Raffaella Giacomini","4.2","2.8","2.0","4.8","4.8"
"ECON 103","3.0","Ekaterini Kyriazidou","1.1","1.0","1.0","1.7","1.4"
"ECON 103","3.0","Enrico Moretti","3.7","1.3","1.5","3.3","3.0"
"ECON 103","3.0","Amanda Nguyen","2.5","3.0","2.5","3.0","2.5"
"ECON 103","3.0","Randall Rojas","4.0","3.3","4.0","4.7","3.7"
"ECON 106F","3.0","Andrew Atkeson","2.8","2.0","2.4","2.4","2.6"
"ECON 106F","3.0","B Brown","N/A","N/A","N/A","N/A","N/A"
"ECON 106F","3.0","Patrick Convery","2.2","3.2","3.4","2.2","3.6"
"ECON 106F","3.0","Elizabeth Landaw","2.5","2.2","2.2","2.2","2.8"
"ECON 106F","3.0","Elliot Landaw","N/A","N/A","N/A","N/A","N/A"
"ECON 106F","3.0","Hanno Lustig","4.0","1.0","1.5","3.8","4.5"
"ECON 106F","3.0","Edward Mcdevitt","3.3","1.7","1.0","4.3","3.5"
"ECON 106F","3.0","Andres Schneider","N/A","N/A","N/A","N/A","N/A"
"ECON 106F","3.0","David Zeke","N/A","N/A","N/A","N/A","N/A"
"ECON 106V","3.0","Andrew Atkeson","2.8","1.6","1.8","2.4","2.4"
"ECON 106V","3.0","Simon Board","2.5","1.5","1.2","2.2","3.2"
"ECON 106V","3.0","Randall Rojas","3.5","3.5","4.0","4.5","4.5"
"ECON 106V","3.0","P Weill","3.4","1.6","1.4","3.2","4.0"
"ECON 150","3.0","Dominic Brewer","4.2","2.2","2.5","4.2","3.8"
"ECON 150","3.0","Deborah Brown","2.0","1.2","1.5","1.2","1.8"
"ECON 150","3.0","Janet Currie","3.4","1.3","1.9","3.6","3.7"
"ECON 150","3.0","Jack Hou","2.0","1.3","1.3","2.4","2.1"
"ECON 150","3.0","Edward Mcdevitt","3.8","2.0","1.8","3.2","3.5"
"ECON 121","2.9","Edward Mcdevitt","3.6","1.6","1.6","4.1","3.6"
"ECON 121","2.9","Sule Ozler","2.2","2.8","2.4","2.8","2.8"
"ECON 121","2.9","Rodney Swanson","2.7","1.0","1.0","2.7","2.0"
"ECON 137","2.9","Anne Bresnock","2.3","1.6","1.6","3.3","2.3"
"ECON 137","2.9","Devin Bunten","N/A","N/A","N/A","N/A","N/A"
"ECON 137","2.9","Gary Galles","N/A","N/A","N/A","N/A","N/A"
"ECON 137","2.9","Walker Hanlon","4.0","2.5","1.8","3.5","4.5"
"ECON M134A","2.9","Anne Bresnock","2.9","1.4","1.4","2.9","2.7"
"ECON M134A","2.9","Matthew Kahn","N/A","N/A","N/A","N/A","N/A"
"ECON 110","2.8","Pari Kasliwal","1.6","1.6","1.6","1.4","1.8"
"ECON 110","2.8","Deepak Lal","2.0","1.5","1.7","1.3","1.3"
"ECON 110","2.8","Maurizio Mazzocco","3.7","3.0","3.3","3.2","3.7"
"ECON 110","2.8","Giovanni Peri","3.6","2.4","2.6","3.6","3.6"
"ECON 141B","2.8","N Gretsky","2.8","1.8","1.5","1.8","4.5"
"ECON 145","2.8","Ichiro Obara","2.8","1.8","2.6","2.2","2.4"
"ECON 170","2.8","Deborah Brown","1.7","1.3","1.3","1.5","1.0"
"ECON 170","2.8","Gary Galles","2.4","1.6","1.4","2.9","2.4"
"ECON 170","2.8","Gary Hansen","3.6","2.3","2.4","3.6","3.6"
"ECON 170","2.8","Tiffany Hartman-glaser","N/A","N/A","N/A","N/A","N/A"
"ECON 170","2.8","Hugo Hopenhayn","2.7","1.0","1.0","2.5","2.2"
"ECON 170","2.8","Edward Mcdevitt","4.0","1.8","1.5","4.2","3.2"
"ECON 170","2.8","Connan Snider","N/A","N/A","N/A","N/A","N/A"
"ECON 170","2.8","Rodney Swanson","2.7","1.0","1.0","2.6","1.9"
"ECON 170","2.8","Earl Thompson","2.6","1.6","1.6","2.4","2.6"
"ECON 170","2.8","Darrell Williams","2.7","1.5","1.5","2.7","1.5"
"ECON 181B","2.8","Jernej Copic","3.4","2.6","2.4","3.4","3.3"
"ECON 181B","2.8","C Lee","N/A","N/A","N/A","N/A","N/A"
"ECON 181B","2.8","Sule Ozler","1.9","2.6","2.1","2.3","2.3"
"ECON 181B","2.8","Michael Sproul","3.3","2.3","2.3","3.4","3.4"
"ECON 181B","2.8","Aaron Tornell","2.5","2.2","1.5","2.5","2.2"
"ECON 187","2.8","Andrew Atkeson","2.8","1.7","1.7","2.3","3.0"
"ECON 187","2.8","C Berrebi","N/A","N/A","N/A","N/A","N/A"
"ECON 187","2.8","William Simon","N/A","N/A","N/A","N/A","N/A"
"ECON 107","2.7","William Allen","2.0","1.2","1.2","2.8","3.0"
"ECON 107","2.7","George Murphy","3.2","2.4","2.8","2.6","3.0"
"ECON 107","2.7","Joseph Ostroy","N/A","N/A","N/A","N/A","N/A"
"ECON 107","2.7","Sule Ozler","2.8","2.7","2.7","2.8","2.9"
"ECON 107","2.7","Rodney Swanson","N/A","N/A","N/A","N/A","N/A"
"ECON 107","2.7","Earl Thompson","2.6","1.0","1.8","2.4","2.8"
"ECON 11","2.7","Jay Bhattacharya","2.2","1.2","1.6","2.6","3.4"
"ECON 11","2.7","Simon Board","2.5","1.5","1.3","2.3","3.7"
"ECON 11","2.7","Richard Buddin","2.6","2.0","2.2","2.4","2.8"
"ECON 11","2.7","Anastasia Burkovskaya","N/A","N/A","N/A","N/A","N/A"
"ECON 11","2.7","Carlos Armando Cantu Garcia","3.1","2.1","2.1","3.0","3.9"
"ECON 11","2.7","Cassandra Guarino","1.3","2.3","2.7","1.7","1.7"
"ECON 11","2.7","Wenshu Guo","N/A","N/A","N/A","N/A","N/A"
"ECON 11","2.7","Christian Hellwig","3.6","1.7","1.7","2.1","3.3"
"ECON 11","2.7","G Hildebrandt","N/A","N/A","N/A","N/A","N/A"
"ECON 11","2.7","Jack Hou","2.0","1.5","1.5","2.0","2.0"
"ECON 160","2.7","Dean Baim","2.5","1.7","1.5","2.7","2.5"
"ECON 160","2.7","Deborah Brown","1.2","1.2","1.8","1.5","1.8"
"ECON 160","2.7","T Ji","N/A","N/A","N/A","N/A","N/A"
"ECON 160","2.7","Meric Keskinel","2.5","3.0","2.5","2.5","2.5"
"ECON 160","2.7","Edward Mcdevitt","N/A","N/A","N/A","N/A","N/A"
"ECON 160","2.7","Scott Miller","3.7","2.3","3.7","3.7","3.7"
"ECON 160","2.7","Patrick Pintus","N/A","N/A","N/A","N/A","N/A"
"ECON 160","2.7","Martin Schneider","3.8","2.8","2.8","3.4","3.6"
"ECON 160","2.7","Michael Sproul","3.6","2.6","2.6","3.4","3.4"
"ECON 160","2.7","Rodney Swanson","2.5","1.0","1.0","2.8","2.0"
"ECON 171","2.6","Hugo Hopenhayn","2.6","1.0","1.2","2.4","2.4"
"ECON 171","2.6","Phillip Leslie","3.8","2.3","2.3","3.7","3.3"
"ECON 171","2.6","Michael Sproul","3.0","2.8","2.2","3.2","3.5"
"ECON 171","2.6","Xiangkang Yin","1.4","1.3","1.7","1.6","1.4"
"ECON 199B","2.6","Ariel Burstein","N/A","N/A","N/A","N/A","N/A"
"ECON 199B","2.6","Richard Krop","N/A","N/A","N/A","N/A","N/A"
"ECON 199B","2.6","Aaron Tornell","2.6","1.8","2.2","2.2","2.4"
"ECON 41","2.6","Katalin Bognar","3.9","2.5","2.5","4.0","3.5"
"ECON 41","2.6","Deborah Brown","1.5","1.5","1.3","1.7","1.3"
"ECON 41","2.6","B Brown","N/A","N/A","N/A","N/A","N/A"
"ECON 41","2.6","Moshe Buchinsky","1.5","1.3","1.7","1.7","2.0"
"ECON 41","2.6","Denis Chetverikov","2.7","2.1","2.6","2.6","3.1"
"ECON 41","2.6","Jernej Copic","3.6","2.4","2.2","3.2","3.8"
"ECON 41","2.6","Patrik Guggenberger","1.7","1.7","1.7","1.3","2.2"
"ECON 41","2.6","Jinyong Hahn","2.8","3.0","3.0","2.8","2.2"
"ECON 41","2.6","Jennifer Hahn","N/A","N/A","N/A","N/A","N/A"
"ECON 41","2.6","None Hernandez Castillo","N/A","N/A","N/A","N/A","N/A"
"ECON 495","2.6","Sule Ozler","2.6","2.6","2.3","2.9","2.6"
"ECON 172","2.5","Werner Hirsch","1.6","1.0","1.0","2.2","2.4"
"ECON 172","2.5","D Merrell","3.8","1.8","2.0","3.2","3.2"
"ECON 172","2.5","Earl Thompson","2.5","1.7","1.5","2.5","2.3"
"ECON 172","2.5","Peter Thompson","N/A","N/A","N/A","N/A","N/A"
"ECON 106I","2.4","Simon Board","2.2","1.3","1.5","2.5","3.2"
"ECON 106I","2.4","Gary Galles","2.5","1.2","1.0","2.8","2.8"
"ECON 106I","2.4","Aaron Tornell","2.5","2.5","2.0","2.3","2.3"
"ECON 146","2.4","N Gretsky","2.4","1.2","1.8","1.2","4.4"
"ECON 147A","2.4","Jinyong Hahn","2.4","2.7","2.9","2.6","2.6"
"ECON 19","2.4","David Atkin","N/A","N/A","N/A","N/A","N/A"
"ECON 19","2.4","Simon Board","N/A","N/A","N/A","N/A","N/A"
"ECON 19","2.4","Denis Chetverikov","N/A","N/A","N/A","N/A","N/A"
"ECON 19","2.4","Gary Hansen","N/A","N/A","N/A","N/A","N/A"
"ECON 19","2.4","David Levine","3.4","1.2","1.4","3.2","3.8"
"ECON 19","2.4","Adriana Lleras-Muney","N/A","N/A","N/A","N/A","N/A"
"ECON 19","2.4","Kathleen Mcgarry","N/A","N/A","N/A","N/A","N/A"
"ECON 19","2.4","Vasiliki Skreta","1.4","1.6","1.0","1.4","2.8"
"ECON 113","2.3","Sule Ozler","2.3","2.7","2.6","2.3","2.9"
"ECON 152","2.1","Peter Schlein","1.6","1.4","1.6","1.4","1.4"
"ECON 152","2.1","Earl Thompson","2.6","1.4","1.2","2.2","2.6"
"ECON 152","2.1","Peter Thompson","N/A","N/A","N/A","N/A","N/A"
"ECON 112","1.4","Deepak Lal","1.4","1.8","2.0","1.8","1.4"
"ECON 106D","N/A","Marek Pycia","N/A","N/A","N/A","N/A","N/A"
"ECON 106DL","N/A","Marek Pycia","N/A","N/A","N/A","N/A","N/A"
"ECON 106EL","N/A","Hugo Hopenhayn","N/A","N/A","N/A","N/A","N/A"
"ECON 106EL","N/A","Alfred Osborne","N/A","N/A","N/A","N/A","N/A"
"ECON 106EL","N/A","Nathan Wilson","N/A","N/A","N/A","N/A","N/A"
"ECON 106FB","N/A","Patrick Convery","N/A","N/A","N/A","N/A","N/A"
"ECON 106GL","N/A","Moritz Meyer-ter-Vehn","N/A","N/A","N/A","N/A","N/A"
"ECON 106H","N/A","Naomi Lamoreaux","N/A","N/A","N/A","N/A","N/A"
"ECON 106M","N/A","Aaron Tornell","N/A","N/A","N/A","N/A","N/A"
"ECON 106ML","N/A","Aaron Tornell","N/A","N/A","N/A","N/A","N/A"
"ECON 106T","N/A","Simon Board","N/A","N/A","N/A","N/A","N/A"
"ECON 106TL","N/A","Simon Board","N/A","N/A","N/A","N/A","N/A"
"ECON 123","N/A","Aaron Tornell","N/A","N/A","N/A","N/A","N/A"
"ECON 130L","N/A","Adriana Lleras-Muney","N/A","N/A","N/A","N/A","N/A"
"ECON 131","N/A","Dora Costa","N/A","N/A","N/A","N/A","N/A"
"ECON 141","N/A","Patrick Convery","N/A","N/A","N/A","N/A","N/A"
"ECON 144","N/A","Randall Rojas","N/A","N/A","N/A","N/A","N/A"
"ECON 148","N/A","Marek Pycia","N/A","N/A","N/A","N/A","N/A"
"ECON 164","N/A","F Buera","N/A","N/A","N/A","N/A","N/A"
"ECON 164","N/A","Pablo Fajgelbaum","N/A","N/A","N/A","N/A","N/A"
"ECON 164","N/A","Gary Hansen","N/A","N/A","N/A","N/A","N/A"
"ECON 164L","N/A","F Buera","N/A","N/A","N/A","N/A","N/A"
