"course_id","similar_course_id","score"
"URBN PL 185SL","ASIA AM 185","0.49143488401319352"
"URBN PL 185SL","CIVIC 133SL","0.21689291029693622"
"URBN PL 185SL","CIVIC 170SL","0.10219778834708976"
"POL SCI 156A","POL SCI 154B","0.19760338348231926"
"POL SCI 156A","POL SCI 186","0.10631517973247268"
"POL SCI 156A","POL SCI M180A","0.1038484273063067"
"POL SCI 156A","POL SCI 139","0.10237291984679743"
"POL SCI 156A","POL SCI 169","0.10058634431369169"
"HIST 11B","HIST 9C","0.18869088435523462"
"HIST 11B","HIST 13B","0.17788850132236142"
"HIST 11B","HIST 8B","0.14892844484896656"
"ETHNMUS 71FW","ETHNMUS 92","0.13825892012906102"
"PSYCH 194B","PSYCH 192","0.91335284961741603"
"PSYCH 194B","PSYCH 185","0.12392460562195416"
"PSYCH 194B","MIMG 192","0.12011876707565092"
"ART HIS M110B","HIST M103B","0.21455861125793349"
"ART HIS M110B","AN N EA M103B","0.18829755251589819"
"ART HIS M110B","HIST M104A","0.11282270191404073"
"PHILOS 100B","PHILOS 104","0.16173757250311477"
"MECH&AE 105A","CH ENGR 102A","0.35506548211966105"
"KOREA 104B","KOREA C105B","0.1834664039859612"
"KOREA 104B","KOREA CM120","0.18191988260622324"
"KOREA 104B","KOREA 180A","0.10610341817728525"
"ENVIRON M153","ARCH&UD CM153","0.8296380117372727"
"ENVIRON M153","ENVIRON M167","0.14689397479052094"
"EL ENGR 111L","EL ENGR 112","0.13723286891736347"
"POLSH 187C","SRB CRO 187J","0.65364831628593489"
"AF AMER M118","CHICANO M118","0.9181424586987651"
"AF AMER M118","EDUC 143","0.10681440111691876"
"AF AMER M111","ETHNMUS M111","0.89495671015082012"
"WL ARTS 177SL","CHICANO 100SL","0.16848841276833693"
"WL ARTS 177SL","CIVIC 133SL","0.13149952664539813"
"MSC HST 13","MSC HST 8","0.17841008853576229"
"RELIGN 110","RELIGN 177","0.29293026722094739"
"DANCE 60","DANCE 63","0.55106568724226679"
"DANCE 60","DANCE 59","0.48287774697096564"
"DANCE 60","DANCE 13","0.45079846873395352"
"DANCE 60","DANCE 11","0.40398442746483476"
"DANCE 60","DANCE 56","0.38617302441204326"
"DANCE 60","DANCE 6","0.3155462615687904"
"DANCE 63","DANCE 56","0.56187699306787697"
"DANCE 63","DANCE 59","0.56054531250240369"
"DANCE 63","DANCE 60","0.55106568724226679"
"DANCE 63","DANCE 6","0.54139708436460188"
"DANCE 63","DANCE 11","0.5162135975065385"
"DANCE 63","DANCE 10","0.48232251241750973"
"COMM ST 167","COMM ST 103B","0.12463545947086879"
"ASIA AM 185","URBN PL 185SL","0.49143488401319352"
"ASIA AM 185","CIVIC 133SL","0.14726632027332429"
"ASIA AM 185","CHICANO 192A","0.13730193448837399"
"COMM ST 160","COMM ST 109","0.16574277013967392"
"COMM ST 160","COMM ST 185","0.14656838833874594"
"COMM ST 160","COMM ST 170","0.14164029126508029"
"COMM ST 160","COMM ST 148","0.11408081964127101"
"COMM ST 160","COMM ST 104","0.10935936975450453"
"DUTCH 103B","SEMITIC 140B","0.20201879210279355"
"DESMA 173","DESMA 171","0.34908089285755478"
"DESMA 173","DESMA 172","0.28633408917809661"
"DESMA 172","DESMA 173","0.28633408917809661"
"DESMA 172","DESMA 171","0.25096934846514096"
"DESMA 171","DESMA 173","0.34908089285755478"
"DESMA 171","DESMA 172","0.25096934846514096"
"ENGL 180R","ENGL 184","0.13143927949336934"
"LBR&WS M166B","LBR&WS 188","0.13538641572214744"
"ETHNMUS 91C","ETHNMUS 91Z","0.75257423047052663"
"ETHNMUS 91C","MSC HST CM90T","0.31425937065671228"
"ETHNMUS 91C","MUSC M90T","0.22121460709930249"
"ETHNMUS 91C","ETHNMUS 91T","0.21526130868643789"
"ETHNMUS 91C","MUSC 90F","0.19254008324218835"
"ETHNMUS 91B","ETHNMUS 91Z","0.7709233242525928"
"ETHNMUS 91B","MSC HST CM90T","0.31904558682125411"
"ETHNMUS 91B","MUSC M90T","0.22458373791032304"
"ETHNMUS 91B","ETHNMUS 91T","0.22072002755088888"
"ETHNMUS 91B","MUSC 90F","0.19254008324218835"
"ETHNMUS 91F","ETHNMUS 91Z","0.77934855489917865"
"ETHNMUS 91F","MSC HST CM90T","0.32124324168037821"
"ETHNMUS 91F","MUSC M90T","0.22613071916719085"
"ETHNMUS 91F","ETHNMUS 91T","0.22322647097605786"
"ETHNMUS 91F","MUSC 90F","0.19254008324218835"
"ETHNMUS 91E","ETHNMUS 91Z","0.75257423047052663"
"ETHNMUS 91E","MSC HST CM90T","0.31425937065671228"
"ETHNMUS 91E","MUSC M90T","0.22121460709930249"
"ETHNMUS 91E","ETHNMUS 91T","0.21526130868643789"
"ETHNMUS 91E","MUSC 90F","0.19254008324218835"
"ETHNMUS 91D","ETHNMUS 91Z","0.7828005488046158"
"ETHNMUS 91D","MSC HST CM90T","0.32214366702161507"
"ETHNMUS 91D","MUSC M90T","0.22676454987100636"
"ETHNMUS 91D","ETHNMUS 91T","0.22425341347661865"
"ETHNMUS 91D","MUSC 90F","0.19254008324218835"
"ETHNMUS 91K","ETHNMUS 91Z","0.77381253512715742"
"ETHNMUS 91K","MSC HST CM90T","0.31979921465458749"
"ETHNMUS 91K","MUSC M90T","0.22511423437476119"
"ETHNMUS 91K","ETHNMUS 91T","0.2215795462874369"
"ETHNMUS 91K","MUSC 90F","0.19254008324218835"
"ETHNMUS 91N","ETHNMUS 91Z","0.75903432319628694"
"ETHNMUS 91N","MSC HST CM90T","0.31594443481277928"
"ETHNMUS 91N","MUSC M90T","0.22240076363122235"
"ETHNMUS 91N","ETHNMUS 91T","0.21718313820276397"
"ETHNMUS 91N","MUSC 90F","0.19254008324218835"
"ETHNMUS 91L","ETHNMUS 91Z","0.7709233242525928"
"ETHNMUS 91L","MSC HST CM90T","0.31904558682125411"
"ETHNMUS 91L","MUSC M90T","0.22458373791032304"
"ETHNMUS 91L","ETHNMUS 91T","0.22072002755088888"
"ETHNMUS 91L","MUSC 90F","0.19254008324218835"
"ETHNMUS 91P","ETHNMUS 91Z","0.75336695252167563"
"ETHNMUS 91P","MSC HST CM90T","0.3144661459416534"
"ETHNMUS 91P","MUSC M90T","0.22136016111514778"
"ETHNMUS 91P","ETHNMUS 91T","0.21549713759800534"
"ETHNMUS 91P","MUSC 90F","0.19254008324218835"
"AN N EA 10W","AN N EA M50B","0.18954600602552599"
"ETHNMUS 91T","ETHNMUS 91D","0.22425341347661865"
"ETHNMUS 91T","ETHNMUS 91F","0.22322647097605786"
"ETHNMUS 91T","ETHNMUS 91K","0.2215795462874369"
"ETHNMUS 91T","ETHNMUS 91L","0.22072002755088888"
"ETHNMUS 91T","ETHNMUS 91B","0.22072002755088888"
"ETHNMUS 91T","ETHNMUS 91N","0.21718313820276397"
"ETHNMUS 91Z","ETHNMUS 91D","0.7828005488046158"
"ETHNMUS 91Z","ETHNMUS 91F","0.77934855489917865"
"ETHNMUS 91Z","ETHNMUS 91K","0.77381253512715742"
"ETHNMUS 91Z","ETHNMUS 91L","0.7709233242525928"
"ETHNMUS 91Z","ETHNMUS 91B","0.7709233242525928"
"ETHNMUS 91Z","ETHNMUS 91N","0.75903432319628694"
"SPAN 25","SPAN 7A","0.44318994647770121"
"SPAN 25","SPAN 3","0.32573890995688326"
"SPAN 25","SPAN 2","0.32573890995688326"
"SPAN 25","SPAN 1","0.32573890995688326"
"SPAN 25","SPAN 4","0.22331186391846475"
"SPAN 25","SPAN 11A","0.20532138044795056"
"SOC GEN 188SB","PSYCH 188SB","0.91017613721842794"
"SOC GEN 188SB","GENDER 188SB","0.82432653571610937"
"SOC GEN 188SB","EPIDEM 188SB","0.76294918255841193"
"SOCIOL M120","DIS STD M149","0.77391477469241721"
"SOCIOL M120","SOCIOL 180B","0.1066727771421551"
"NAV SCI 102B","PUB PLC 105","0.19827266659924278"
"NAV SCI 102B","AERO ST 140B","0.11545587975356407"
"C&EE 151","C&EE 157L","0.10090905143660014"
"ASIA AM 167","ASIA AM 132A","0.26186989734485699"
"ASIA AM 167","ASIA AM 133","0.24107266733616356"
"ASIA AM 167","ASIA AM 187C","0.18939822340131796"
"ASIA AM 167","CHICANO 153","0.17834781589833518"
"ASIA AM 167","ASIA AM 103","0.16849130501658777"
"ASIA AM 167","ASIA AM M119","0.16676247482736259"
"THEATER 150","THEATER 171B","0.21748065790349708"
"THEATER 150","THEATER 171A","0.20687803727871262"
"THEATER 150","FILM TV 178","0.19842878028170383"
"THEATER 150","THEATER 50","0.17579265106522857"
"MUSC 160AW","MUSC 60AW","0.11360949033354849"
"PSYCTRY 188SB","GENDER 188SB","0.44734037281912359"
"PSYCTRY 188SB","PSYCH 188SB","0.34257814113120783"
"THEATER C152B","THEATER C144C","0.15996676081561034"
"SPAN 170","SPAN 150","0.1852365042820095"
"SPAN 170","SPAN 135","0.12295595621898513"
"PHILOS 5","PHILOS 6","0.1198828003283076"
"PHILOS 6","PHILOS 5","0.1198828003283076"
