"class_id","lecture_id","class_type","section","course_id","title","major","major_code","term","days","start_time","end_time","location","instructor","url"
"238018210","238018200","DIS","1J","FILM TV 6A","History of American Motion Picture","Film and Television","FILM TV","17W","Friday","10am","10:50am","Royce Hall Room 166","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0006A&class_id=238018210&class_no=%20001"
"238018211","238018200","DIS","1K","FILM TV 6A","History of American Motion Picture","Film and Television","FILM TV","17W","Friday","11am","11:50am","Public Affairs Building Room 1270","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0006A&class_id=238018211&class_no=%20001"
"238018212","238018200","DIS","1L","FILM TV 6A","History of American Motion Picture","Film and Television","FILM TV","17W","Friday","2pm","2:50pm","Bunche Hall Room A152","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0006A&class_id=238018212&class_no=%20001"
"238018213","238018200","DIS","1M","FILM TV 6A","History of American Motion Picture","Film and Television","FILM TV","17W","Friday","3pm","3:50pm","Bunche Hall Room A152","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0006A&class_id=238018213&class_no=%20001"
"238018214","238018200","DIS","1N","FILM TV 6A","History of American Motion Picture","Film and Television","FILM TV","17W","Friday","4pm","4:50pm","Bunche Hall Room A152","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0006A&class_id=238018214&class_no=%20001"
"238099201","238099200","DIS","1A","FILM TV 33","Introductory Screenwriting","Film and Television","FILM TV","17W","Wednesday","10am","10:50am","Melnitz Hall Room 2568B","Alston, J.L.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0033&class_id=238099201&class_no=%20001"
"238099202","238099200","DIS","1B","FILM TV 33","Introductory Screenwriting","Film and Television","FILM TV","17W","Tuesday","1pm","1:50pm","Public Affairs Building Room 1323","Chitkara, R.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0033&class_id=238099202&class_no=%20001"
"238099203","238099200","DIS","1C","FILM TV 33","Introductory Screenwriting","Film and Television","FILM TV","17W","Wednesday","11am","11:50am","Melnitz Hall Room 2568B","Donovan, L.C.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0033&class_id=238099203&class_no=%20001"
"238099204","238099200","DIS","1D","FILM TV 33","Introductory Screenwriting","Film and Television","FILM TV","17W","Thursday","1pm","1:50pm","Melnitz Hall Room 2568B","Gordon, J.S.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0033&class_id=238099204&class_no=%20001"
"238099205","238099200","DIS","1E","FILM TV 33","Introductory Screenwriting","Film and Television","FILM TV","17W","Friday","1pm","1:50pm","Haines Hall Room A76","Grillot, C.S.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0033&class_id=238099205&class_no=%20001"
"238099206","238099200","DIS","1F","FILM TV 33","Introductory Screenwriting","Film and Television","FILM TV","17W","Friday","3pm","3:50pm","Bunche Hall Room 3143","Jones, J.R.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0033&class_id=238099206&class_no=%20001"
"238099207","238099200","DIS","1G","FILM TV 33","Introductory Screenwriting","Film and Television","FILM TV","17W","Friday","1pm","1:50pm","Melnitz Hall Room 2568B","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0033&class_id=238099207&class_no=%20001"
"238156201","238156200","LAB","1A","FILM TV 52","Cinematography","Film and Television","FILM TV","17W","Friday","9am","11:50am","Melnitz Hall Room 1439A","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0052&class_id=238156201&class_no=%20001"
"238337201","238337200","DIS","1A","FILM TV 106B","History of European Motion Picture","Film and Television","FILM TV","17W","Tuesday","11am","11:50am","Melnitz Hall Room 2586B","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0106B&class_id=238337201&class_no=%20001"
"238337202","238337200","DIS","1B","FILM TV 106B","History of European Motion Picture","Film and Television","FILM TV","17W","Tuesday","12pm","12:50pm","Melnitz Hall Room 2586B","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0106B&class_id=238337202&class_no=%20001"
"238337203","238337200","DIS","1C","FILM TV 106B","History of European Motion Picture","Film and Television","FILM TV","17W","Thursday","1pm","1:50pm","Melnitz Hall Room 2586B","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0106B&class_id=238337203&class_no=%20001"
"238337204","238337200","DIS","1D","FILM TV 106B","History of European Motion Picture","Film and Television","FILM TV","17W","Thursday","2pm","2:50pm","Melnitz Hall Room 2586B","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0106B&class_id=238337204&class_no=%20001"
"238337205","238337200","DIS","1E","FILM TV 106B","History of European Motion Picture","Film and Television","FILM TV","17W","Friday","3pm","3:50pm","Melnitz Hall Room 2534","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0106B&class_id=238337205&class_no=%20001"
"238337206","238337200","DIS","1F","FILM TV 106B","History of European Motion Picture","Film and Television","FILM TV","17W","Friday","4pm","4:50pm","Melnitz Hall Room 2534","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0106B&class_id=238337206&class_no=%20001"
"238372114","238372113","DIS","1A","FILM TV 112","Film and Social Change","Film and Television","FILM TV","17W","Monday","1pm","1:50pm","Public Affairs Building Room 1284","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=FILM+TV&crs_catlg_no=0112&class_id=238372114&class_no=%20001"
